name_native	alt_names
lumpiang shanghai	lumpia, lumpiya, filipino spring rolls
menudo	
pancit bihon	pansit bihon
pancit canton	
pancit miki bihon	pansit miki bihon
pancit palabok	pancit luglug, pancit malabon
pastel de lengua	
pata tim	patatim
patis	
pinakbet	
sinigang na baboy	
sinigang na bangus	
sisig	
tinolang manok	
tocino	
tortang kalabasa	squash okoy, okoy na kalabasa
tortang talong	
turon	lumpiang saging
suman sa lihiya	
sapin-sapin	
biko	
ezogelin çorbası	soup of ezo the bride
iskender kebap	bursa kebabı
karnıyarık	
lahmacun	armenian pizza, turkish pizza, sfiha
menemen	
mercimek çorbası	
бануш	банош, banusz, bălmuș
борщ	borsch, borshch, borsht, bortsch
bánh ít trần	
bánh phu thê	bánh xu xê
bánh tẻ	
bò lúc lắc	
chả cá lã vọng	
chạo tôm	
gà nướng sả	
mì quảng	
pho	
bánh xèo	
bánh bèo	
bánh nậm	
bánh cuốn	
bánh uớt	
bánh ram ít	
nem nướng	
bánh canh cua	
bánh tráng trộn	
bánh khọt	
川香椒麻鱼	
清蒸比目	
茄汁大虾	
香辣大虾	
（东来顺）手工切鲜羊肉	
（东来顺）极品磨裆（生吃）	
（东来顺）特制羊上脑	
（东来顺）特制羊后腿	
（东来顺）特制羊尾	
（东来顺）特制羊肉片	
（东来顺）特制肥羊肉	
(东来顺)精选牛上脑	
(东来顺)精选牛眼肉	
(东来顺)精选雪花肥牛	
（东来顺）钻石级杜泊羊	
XO酱炒牛柳条	
XO酱爆乳鸽脯	
XO酱爆北极裙	
XO酱花枝片	
XO酱莲藕炒海螺片	
XO酱虾子肉松茄子煲	
XO酱银杏果百合炒虾仁	
XO酱鲜椒煎带子	
チャーシュー	
一品蒜花鸡	
一鸡三吃	
三丝木耳	
三丝翅羹	
三彩牛肉丝	
三文鱼刺身	
三杯鸡	
三色中卷	
三色鲍鱼菇	
三鲜鸭包芋艿	
上海炒年糕	stir fried rice cakes, chao nian gao
上海粗炒面	cu chao mian
上素炒鸽脯	
东古一品螺	
东坡方肉	
东坡肘子	
东坡银鳕鱼	
两吃干炸丸子	
中式牛排	
中式牛柳	
串串辣子虾	
乌龙吐珠	
九转大肠	
九重鲜鲍	
乳猪拼盘	
乾炒牛河	dry fried beef Shahe noodles, hor fun, dry-fried beef hor fun, beef ho fun, 干炒牛河
云腿芥菜胆	
云腿骨香炒鸽片	
五味九孔	
五味牛腱	
五彩酱鹅肝	
五花肉炖萝卜皮	
五香云豆	
五香大排	
五香熏干	
五香熏鱼	
五香牛肉	
五香鸡	
五香鸭子	
五香鹿肉	
京葱山珍爆牛柳	
京葱扣辽参	
京葱虾籽烧辽参	
京酱肉丝	
京酱龙虾球	
什烩肉	
什菌炒双脆	
什菌炒红烧肉	
什菜牛肉	
什菜鸡	
什锦扒牛肉	
佛跳墙	
全家福	
全聚德烤鸭	
全蝎望京鸭	
八宝菠菜	
八宝鸭丁	
八珍发菜扒鸭	
兰花双味虾仁	
兰花大虾球	
冬瑶花胶炖石蛙	
冬瓜薏米煲老鸭	
冬笋炒肉丝	
冬草花炖海星	
冬草花炖鹧鸪	
冬菜扣大鸭	
冬菜扣肉	
冬菜银鳕鱼	
冰心苦瓜	
冰梅凉瓜	
冰糖甲鱼	
冰镇芥兰	
凉拌花螺	
凉拌苦瓜	
凉拌莜面	
凉拌西芹云耳	
凉拌金针菇	
凉拌黄瓜	
凉瓜炒牛肉	
凤城煎鱼脯	
凤眼秋波芋艿	
凤眼秋波鸭包	
刺参扣鸭掌	
刺身凉瓜	
剁椒鱼头	
剁椒鸭肠	
北京烤鸭	
北极贝刺身	
北菇云腿蒸乳鸽	
北菇扒大鸭	
千层耳丝	
千层酥烤鲜贝	
半口蘑蒸鸡	
南乳碎炸鸡	
南瓜汁百合	
南瓜香芋蒸排骨	
南非小赤龙（蒜茸蒸/芝士牛 油焗）	
卤水大肠	
卤水拼盘	
卤水牛腱	
卤水牛舌	
卤水豆腐	
卤水金钱肚	
卤水鸡蛋	
卤水鸭肉	
卤水鸭膀	
卤水鸭舌	
卤水鹅头	
卤水鹅掌	
卤水鹅翼	
卤水鹅胗	
卤牛腩	
卤猪舌	
卤蛋	
卤酥羊腿	
卤鸭冷切	
卤鸭胗	
原罐小排翅	
参杞炖老鸭	
叉燒	chashao
双仙采灵芝	
双冬辣鸡球	
双冬鸭	
双椒爆鹅珍	
双鲜扒鸡腿菇	
口水鸡	
口水鸡	
口水鸭肠	
叫化鸡	
可乐凤中翼	
可乐芸豆	
台式蛋黄肉	
吊烧乳鸽王	
咕噜明虾球	
咕噜石斑球	
咕噜肉	
咖喱串烧生中虾	
